i,Process10,Process20,Process30
348,7,12,19
349,7,12,19
350,8,12,19
351,8,12,19
352,8,12,19
353,8,12,19
354,8,12,19
355,8,12,19
356,8,12,19
357,8,12,19
358,9,12,22
359,9,12,22
360,9,12,22
361,9,12,22
362,9,12,22
363,9,12,22
364,9,12,22
365,9,12,22
366,9,12,22
367,9,12,22
368,9,12,22
369,9,12,22
370,9,12,22
371,9,12,22
372,9,12,22
373,9,12,22
374,9,12,22
375,9,12,22
376,9,12,22
377,9,12,22
378,9,12,22
379,9,12,22
380,9,12,22
381,9,12,22
382,9,12,22
383,9,12,22
384,9,12,22
385,9,12,22
386,9,12,22
387,9,12,22
388,9,12,22
389,9,12,22
390,9,12,22
391,9,12,22
392,9,12,22
393,9,12,22
394,9,12,22
395,9,12,22
396,9,12,22
397,9,12,22
398,9,12,22
399,9,12,22
400,9,12,22
401,9,12,22
402,9,12,22
403,9,12,22
404,10,12,22
405,10,12,22
406,10,12,22
407,10,12,22
408,10,12,22
409,10,12,22
410,10,12,22
411,10,12,22
412,10,12,22
413,10,12,22
414,10,12,22
415,10,12,22
416,10,12,22
417,10,12,22
418,10,12,22
419,10,12,22
420,10,12,22
421,10,12,22
422,10,12,22
423,10,12,22
424,10,12,22
425,10,12,22
426,10,12,22
427,10,12,22
428,10,12,22
429,10,12,22
430,10,12,22
431,10,12,22
432,10,12,22
433,11,13,30
434,11,13,30
435,11,13,30
436,11,13,30
437,11,13,30
438,11,13,30
439,11,13,30
440,11,13,30
441,11,13,31
442,11,13,31
443,11,13,31
444,11,13,31
445,11,13,31
446,11,13,31
447,11,13,31
448,11,13,31
449,11,13,31
450,11,13,31
451,11,13,31
452,11,13,31
453,11,13,31
454,11,13,31
455,11,13,31
456,11,13,31
457,11,13,31
458,11,13,31
459,11,13,31
460,11,13,31
461,11,13,31
462,11,13,31
463,11,13,31
464,11,13,31
465,11,13,31
466,11,13,31
467,11,13,31
468,11,13,31
469,11,13,31
470,11,14,31
471,11,14,31
472,11,14,31
473,11,14,31
474,11,14,31
475,11,14,31
476,11,14,31
477,11,14,31
478,11,14,31
479,11,14,31
480,11,14,31
481,11,14,31
482,11,14,31
483,11,14,31
484,11,14,31
485,11,14,31
486,11,14,31
487,11,14,31
488,11,14,31
489,11,14,31
490,11,14,31
491,11,14,31
492,11,15,32
493,11,15,32
494,11,15,32
495,11,15,32
496,11,15,32
497,11,15,32
498,11,15,32
499,11,15,32
500,11,15,32
501,11,15,32
502,11,15,32
503,11,15,32
